inst	m	l	greedy	grasp	ag
92	500	500	69918888	66091840	67395339
93	500	500	69950763	66037104	67496178
94	500	500	69800696	66037854	67507658
95	500	500	70196213	65972660	67309689
96	500	500	69865145	66048452	67297056
97	500	500	69912982	66207173	67470479
98	500	500	69881909	66030873	67363963
99	500	500	70065996	65994047	67292402
0	1000	500	139955294	134810771	138219347
1	1000	500	139752108	134412413	138130469
2	1000	500	140074660	134737635	138089771
3	1000	500	140259833	134598573	138136796
4	1000	500	140049852	134586580	138049285
5	1000	500	139895984	134783369	138023417
6	1000	500	140282507	134925347	138198674
7	1000	500	140091230	134792692	138069387
8	1000	500	139503321	134519802	138064948
9	1000	500	140381343	134496296	137934233
10	1000	500	139981413	134546767	137982629
11	1000	500	140302870	134744061	138041116
12	1000	500	140245835	134400722	137763522
13	1000	500	139980085	134775111	138044185
14	1000	500	140249409	134654232	137925064
15	1000	500	140610422	134607719	138074941
16	1000	500	140016868	134580070	138220976
17	1000	500	140223478	134751514	138189580
18	1000	500	139702561	134660246	138202232
19	1000	500	140191684	134734204	138077148
20	1000	500	140290093	134642389	138115654
21	1000	500	139971748	134548577	137729431
22	1000	500	140119884	134524755	137993433
23	1000	500	140273799	134715714	138093078
24	1000	500	139743300	134727213	137880066
25	1000	500	139673379	134634804	137616900
26	1000	500	139615454	134728536	137984457
27	1000	500	140113415	134763243	138257442
28	1000	500	140175370	134635306	137904960
29	1000	500	140154419	134728183	138167853
30	1000	500	140114375	134522115	137962904
31	1000	500	140389326	134800939	137875562
32	1000	500	140179746	134614627	138092568
33	1000	500	139747109	134628567	138135606
34	1000	500	140449318	134944984	138283978
35	1000	500	139929964	134832387	138281295
36	1000	500	139952511	134591198	138179822
37	1000	500	140066618	134615597	138193704
38	1000	500	140139457	134532459	138064086
39	1000	500	140119772	134890287	137963234
40	1000	500	140005042	134737807	138047730
41	1000	500	140176155	134585581	138173738
42	1000	500	140045856	134440458	138000482
43	1000	500	140190844	134675288	137898305
44	1000	500	139773738	134535181	138059307
45	1000	500	140031896	134795186	138077896
46	1000	500	139982714	134660594	137828785
47	1000	500	140339731	134466055	137749130
48	1000	500	140206916	134667629	137993337
49	1000	500	140164537	134846478	138147714
50	1000	500	140190483	134367298	137959634
51	1000	500	139946044	134622731	137749990
52	1000	500	140042251	134633539	137771457
53	1000	500	139910301	134510022	137624587
54	1000	500	139837468	134655226	137859698
55	1000	500	140086917	134606046	137887562
56	1000	500	140487542	134492624	137812192
57	1000	500	140380740	134686242	137833673
58	1000	500	140000377	134734692	137984334
59	1000	500	139951968	134692882	138086642
60	1000	500	140264358	134628169	138018371
61	1000	500	140129962	134503969	137955988
62	1000	500	140015466	134573880	138094716
63	1000	500	139654055	134623594	137912379
64	1000	500	140098734	134889108	137995911
65	1000	500	140296107	134693863	137765785
66	1000	500	140121843	134588302	138029250
67	1000	500	140157985	134569801	138020534
68	1000	500	140258700	134741765	137792255
69	1000	500	140591529	134587082	137835315
70	1000	500	140224298	134572359	137873097
71	1000	500	140157786	134592343	137833209
72	1000	500	139859712	134685097	137904732
73	1000	500	140182648	134527505	137881676
74	1000	500	139905792	134786637	137922818
75	1000	500	140304340	134694698	137806252
76	1000	500	139736542	134310141	137958417
77	1000	500	140131521	134647278	137816536
78	1000	500	139943402	134660799	137953754
79	1000	500	139976875	134383034	137862033
80	1000	500	139969463	134488470	138020298
81	1000	500	140359939	134886251	137984075
82	1000	500	139876544	134706177	137823590
83	1000	500	139946676	134646453	137995285
84	1000	500	140123172	134490126	137885368
85	1000	500	139591595	134660371	137827198
86	1000	500	140425805	134491682	137901948
87	1000	500	140004338	134539375	137859713
88	1000	500	140023388	135014295	137800648
89	1000	500	140334761	134544195	137872118
90	1000	500	140171286	134685784	137837070
91	1000	500	140440295	134679473	137740042
92	1000	500	140271347	134431770	137848596
93	1000	500	140093987	134795482	138096127
94	1000	500	140050254	134733942	138024323
95	1000	500	140168176	134481833	137810603
96	1000	500	140249408	134772158	137850044
97	1000	500	139821109	134622467	137933398
98	1000	500	140299196	134384810	137932610
99	1000	500	139814101	134508747	137689247
