inst	m	l	greedy	grasp	ag	hibrida
67	1000	300	50393779	48553812	48927684	50031356
68	1000	300	50469789	48474263	48928650	49993562
69	1000	300	50548220	48456554	48867830	49920265
70	1000	300	50732550	48481241	48897181	49967662
71	1000	300	50517815	48466046	48889978	50072457
72	1000	300	50622329	48406069	48873847	49991553
73	1000	300	50665581	48564673	48934855	50096999
74	1000	300	50650398	48435550	48832268	49958142
75	1000	300	50316253	48498987	48883914	49974895
76	1000	300	50431766	48421605	48886698	49996905
77	1000	300	50227604	48459189	48895390	50024095
78	1000	300	50357638	48577552	48964269	50000903
79	1000	300	50395336	48460157	48857465	49923566
80	1000	300	50401933	48447801	48755877	50103622
81	1000	300	50499791	48504066	48909636	50349736
82	1000	300	50425187	48560423	48986453	50031629
83	1000	300	50463141	48584814	49002599	50092169
84	1000	300	50446893	48423978	48885001	50078704
85	1000	300	50373200	48562278	48935151	49992141
86	1000	300	50468721	48477781	48889889	50126299
87	1000	300	50309469	48428282	48870727	50000999
88	1000	300	50449444	48513545	48924216	49963681
89	1000	300	50353911	48531836	48901315	50065782
90	1000	300	50468284	48487848	48898624	50059871
91	1000	300	50516920	48545936	48910930	50036512
92	1000	300	50522092	48437971	48787799	50031778
93	1000	300	50496991	48467599	48909259	49990743
94	1000	300	50111073	48505193	48923791	49965387
95	1000	300	50497725	48497708	48952950	50080158
96	1000	300	50412261	48479510	48850756	50079573
97	1000	300	50618387	48441352	48881494	50002358
98	1000	300	50472927	48390037	48826539	49984919
99	1000	300	50342659	48529450	49027082	50034336
0	500	500	70029418	65994623	67505884	69239562
1	500	500	69748818	65962803	67493183	69289515
2	500	500	69965411	66023813	67629049	69269118
3	500	500	69912769	66133854	67589566	69227022
4	500	500	69920539	66044800	67486212	69234568
5	500	500	69651579	65946612	67484441	69362397
6	500	500	69914784	65827699	67303316	69318622
7	500	500	69627231	65961096	67448232	69278622
8	500	500	69906482	66041731	67390221	69476028
9	500	500	69675054	66117916	67557326	69240272
10	500	500	69955090	66125156	67524453	69511152
11	500	500	69720098	66147704	67475682	69333910
12	500	500	69811908	66218666	67530816	69325574
13	500	500	69599161	66015816	67358433	69387107
14	500	500	69763911	65986774	67362138	69112984
15	500	500	69860293	66139433	67597584	69303556
16	500	500	70011164	66113997	67450866	69314065
17	500	500	69466871	66037330	67453192	69302165
18	500	500	69743065	66067505	67663086	69263026
19	500	500	69765998	65832890	67403694	69782790
20	500	500	69662731	65979719	67365816	69245921
21	500	500	70035072	66074013	67419001	69200457
22	500	500	69842732	66237992	67746480	69508252
23	500	500	70177327	65848011	67446808	69205615
24	500	500	69620667	66150500	67505743	69365269
25	500	500	70082624	66110527	67429339	69694897
26	500	500	69757501	66028106	67636031	69127224
27	500	500	70036923	66087844	67442184	69290251
28	500	500	69868830	66208714	67614285	69413760
29	500	500	69796137	65947404	67614096	69096669
30	500	500	70131641	66098336	67556317	69155190
31	500	500	69991205	66055114	67511496	69252797
32	500	500	69915486	66010048	67555251	69422156
33	500	500	69882465	65965541	67436904	69427929
34	500	500	69853326	66081546	67723693	69270903
35	500	500	69475598	65932106	67481785	69287047
36	500	500	70134265	66018322	67580256	69508152
37	500	500	69734994	66078855	67659446	69304555
38	500	500	69655104	66168266	67762656	69369679
39	500	500	69823425	66136437	67655991	69389616
40	500	500	69658247	66040911	67489323	69385586
41	500	500	70084927	66203011	67710741	69297150
42	500	500	70117367	66093811	67553289	69333696
43	500	500	69861503	66164042	67627598	69684134
44	500	500	69974202	66147466	67652423	69570850
45	500	500	70128407	66153432	67473271	69271238
46	500	500	69827938	66116677	67387382	69347560
47	500	500	70137901	66036238	67285138	69276384
48	500	500	69928935	66125352	67296968	69646375
49	500	500	69857584	65955287	67307105	69318130
50	500	500	69966741	66135297	67530488	69264034
